Null,Object_id,Hex,Color name,Size
237,10499,#565141,darkslategrey,16
238,10501,#0a0602,black,22
239,20639,#352a1b,rosybrown,11
240,21693,#6c6665,dimgrey,2
241,10503,#161f20,black,27
242,10504,#bababa,darkslategrey,7
243,10507,#484748,dimgrey,7
244,10508,#140e08,darkslategrey,10
245,10516,#a08b7d,dimgrey,11
246,10517,#7c795d,darkslategrey,16
247,10521,#757358,lightgrey,11
248,10522,#7d7057,sienna,26
249,10526,#19171b,black,11
250,10527,#92908e,black,6
251,10530,#73634e,darkslategrey,2
252,10531,#5a7688,slategrey,2
253,10533,#473830,grey,28
254,10534,#999989,grey,8
255,10535,#74593c,darkolivegreen,29
256,10537,#3a1f0d,wheat,19
257,10554,#b58c4b,darkolivegreen,16
258,16958,#343f39,peru,9
259,16959,#70745f,black,11
260,10584,#b59577,darkgoldenrod,2
261,10586,#070604,black,3
262,10587,#3a3a3a,silver,5
263,10589,#483418,wheat,11
264,10590,#5b422a,grey,9
265,10612,#191e20,darkolivegreen,18
266,10767,#6f7047,darkolivegreen,1
267,10768,#968354,black,2
268,10769,#a4adaf,darkolivegreen,7
269,10771,#eae5e5,grey,10
270,10777,#dbe0dc,darkolivegreen,2
271,17897,#41321e,darkolivegreen,11
272,10783,#161d1f,black,38
273,10784,#fbedb9,tan,38
274,10785,#cea468,darkolivegreen,28
275,10786,#80602c,black,25
276,10788,#171712,silver,8
277,10790,#251e14,black,1
278,10791,#2b2b2b,lightgrey,3
279,10793,#cab792,grey,1
280,10794,#4b4b2e,wheat,17
281,10795,#dad2c8,lightgrey,9
282,10796,#c5c6bc,darkolivegreen,6
283,10798,#ac9a73,dimgrey,12
284,10799,#b4b4b4,darkgrey,24
285,10800,#e1bc91,saddlebrown,5
286,10801,#29484b,dimgrey,3
287,10805,#987c5f,grey,2
288,10806,#15120d,darkslategrey,30
289,10808,#60634e,black,33
290,10809,#b39058,darkslategrey,7
291,10810,#937034,black,0
292,10811,#adb3bb,black,2
293,10812,#897344,saddlebrown,6
294,10813,#201914,black,12
295,10817,#4e4635,darkslategrey,3
296,10819,#afb2a8,darkslategrey,2
297,10820,#010101,black,11
298,10824,#ac9168,peru,3
299,10825,#dec68c,darkolivegreen,17
300,10827,#e0c096,sienna,3
301,10828,#6a5335,darkolivegreen,47
302,10830,#927e62,darkolivegreen,4
303,10833,#4c4e3b,rosybrown,12
304,10834,#39322a,darkolivegreen,1
305,10835,#8a311a,darkgrey,19
306,14419,#6e6452,black,6
307,10836,#2d2d2d,silver,11
308,10837,#816340,darkslategrey,12
309,10845,#534a43,darkslategrey,9
310,10848,#756e74,whitesmoke,7
311,10849,#c9c9c9,silver,31
312,10850,#010001,black,1
