,Object_id,Object_type,Title,Date_started,Date_finished,Medium,Classification,Met_link,Artist_id,Dept_id
5088,489674,Painting,Grape Wine,1966,1966,Tempera on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489674,2000,4
5089,488643,Painting,Decorative panels for a room (1-27); small model of room assembled (28),1947,1947,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/488643,2001,4
5090,488647,Painting,Sailor's Holiday,1945,1945,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488647,2002,4
5091,488651,Painting,Fleeting Time Thou Hast Left Me Old,1928,1929,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488651,2003,4
5092,488660,Painting,Painting,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488660,2004,4
5093,488662,Painting,"Road to Lamy, New Mexico",1923,1923,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488662,2005,4
5094,488695,Painting,Ducks,1927,1927,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488695,2005,4
5095,488668,Painting,Puppet and Child,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488668,2006,4
5096,488674,Painting,Self-Portrait,1948,1948,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488674,2007,4
5097,488676,Painting,Monhegan Theme,1949,1949,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488676,2008,4
5098,488685,Painting,Table with Figs and Lemons,1952,1952,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488685,2009,4
5099,488692,Painting,Isotope,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488692,2010,4
5100,488702,Painting,Yellow Sweater,1947,1947,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488702,2011,4
5101,488723,Painting,Almost Silence,1952,1952,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488723,2012,4
5102,488727,Painting,Music Hidden in the Shrubbery,1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488727,2013,4
5103,488731,Painting,Caught in the Equinox,1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488731,2014,4
5104,488732,Painting,The Cathedrals of Art,1942,1942,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488732,2015,4
5105,488733,Painting,The Cathedrals of Wall Street,1939,1939,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488733,2015,4
5106,488734,Painting,The Cathedrals of Broadway,1929,1929,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488734,2015,4
5107,488735,Painting,The Cathedrals of Fifth Avenue,1931,1931,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488735,2015,4
5108,488750,Painting,What of It?,1939,1939,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488750,2016,4
5109,488757,Painting,"Number 31, Vermillion Machine",1952,1952,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488757,2017,4
5110,489321,Painting,Third Avenue El,1952,1953,Oil and spray enamel on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489321,2017,4
5111,488763,Painting,Rochelle at the Window,1954,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488763,2018,4
5112,488766,Painting,The Flag,1951,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488766,2019,4
5113,488768,Painting,Athens,1953,1953,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/488768,2020,4
5114,488771,Painting,Artist and Model,1948,1948,Encaustic on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488771,2021,4
5115,488777,Painting,"Which Was, and Is, and Is to Come",1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488777,2022,4
5116,488778,Painting,Recolección Café,1912,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488778,2023,4
5117,488783,Painting,Male Cat,1951,1951,Oil and sand on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488783,2024,4
5118,488800,Painting,The Rainbow,1915,1915,"Oil on paper, mounted on cardboard",Paintings,http://www.metmuseum.org/art/collection/search/488800,2025,4
5119,488801,Painting,Harbor Island,1950,1950,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/488801,2026,4
5120,488807,Painting,Four Figures in a Bistro,1952,1952,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488807,2027,4
5121,488825,Painting,Seabirds,1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488825,2028,4
5122,488826,Painting,Still Life with Fish,1927,1928,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488826,2029,4
5123,488964,Painting,Head,1928,1928,Oil on plasterboard,Paintings,http://www.metmuseum.org/art/collection/search/488964,2029,4
5124,488856,Painting,Tomorrow is Never,1955,1955,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488856,2030,4
5125,488876,Painting,Night Watch,1950,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488876,2031,4
5126,488885,Painting,Magister,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488885,2032,4
5127,488886,Painting,Adagio,1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488886,2033,4
5128,490227,Painting,Athene,1949,1949,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490227,2033,4
5129,488887,Painting,Cow Dust Hour,1938,1938,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488887,2034,4
5130,488889,Painting,The Mirage of Time,1954,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488889,2035,4
5131,489511,Painting,The Hostages,1934,1934,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489511,2035,4
5132,490030,Painting,The Satin Tuning Fork,1940,1940,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490030,2035,4
5133,490031,Painting,"My Life, White and Black",1944,1944,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490031,2035,4
5134,490032,Painting,From Green to White,1954,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490032,2035,4
5135,492702,Painting,Title Unknown,1926,1926,Oil on canvas with string and collage,Paintings,http://www.metmuseum.org/art/collection/search/492702,2035,4
5136,488890,Painting,The Flying Box,1954,1954,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488890,2036,4
5137,488892,Painting,Tuscan Town,1954,1955,Oil on composition board,Paintings,http://www.metmuseum.org/art/collection/search/488892,2037,4
5138,488897,Painting,Living Time,1956,1956,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488897,2038,4
5139,489057,Painting,Arcana,1959,1959,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489057,2038,4
5140,490176,Painting,Untitled (Four Figures),1951,1951,"Enamel on paper, mounted on linen",Paintings,http://www.metmuseum.org/art/collection/search/490176,2038,4
5141,490232,Painting,Untitled (Head),1951,1951,"Enamel on paper, mounted on linen",Paintings,http://www.metmuseum.org/art/collection/search/490232,2038,4
5142,488904,Painting,The Sitter,1956,1956,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488904,2039,4
5143,489709,Painting,Seated Figure,1960,1960,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489709,2039,4
5144,490219,Painting,"Portrait of Berdie, Number II",1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490219,2039,4
5145,488910,Painting,Port of Call,1955,1955,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488910,2040,4
5146,488915,Painting,Water of the Flowery Mill,1944,1944,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488915,2041,4
5147,489337,Painting,Landscape,1933,1933,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489337,2041,4
5148,492428,Painting,Self-Portrait at the Age of Nine,1928,1928,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/492428,2041,4
5149,488917,Painting,Mobile,1955,1955,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488917,2042,4
5150,488928,Painting,The Lightning that Struck Rufo Barcliff,1955,1955,Tempera on composition board,Paintings,http://www.metmuseum.org/art/collection/search/488928,2043,4
5151,488936,Painting,Portrait of a Woman,1911,1911,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/488936,2044,4
5152,488943,Painting,Government Bureau,1956,1956,Egg tempera on wood,Paintings,http://www.metmuseum.org/art/collection/search/488943,2045,4
5153,488955,Painting,Edward Joseph Gallagher III,1956,1957,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488955,2046,4
5154,488973,Painting,Industrial Facade,1955,1955,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488973,2047,4
5155,488975,Painting,The Gold Screen - George Basso at the Organ,1957,1957,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488975,2048,4
5156,488977,Painting,September Morn,1912,1912,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/488977,2049,4
5157,489009,Painting,Conflict,1956,1957,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489009,2050,4
